2015-07-09 20:50:19,935 [7] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Account/Login [GET] 
2015-07-09 20:50:19,971 [7] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Account/Login  [GET]- time spent 26 
2015-07-09 20:50:29,700 [9] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Account/Login [POST] 
2015-07-09 20:50:35,099 [9] 	 INFO 	 Blip.Web.Controllers.AccountController - User [admin] logged in successfully 
2015-07-09 20:50:35,102 [9] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Account/Login  [POST]- time spent 5401 
2015-07-09 20:50:35,283 [7] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Home/Index [GET] 
2015-07-09 20:50:35,518 [7] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Home/Index  [GET]- time spent 235 
2015-07-09 20:50:46,775 [7] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Home/Message [GET] 
2015-07-09 20:50:46,805 [7] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Home/Message  [GET]- time spent 41 
2015-07-09 20:51:07,064 [6] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Home/Message [POST] 
2015-07-09 20:51:07,788 [6] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Home/Message  [POST]- time spent 713 
2015-07-09 20:51:07,795 [10] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Home/Index [GET] 
2015-07-09 20:51:07,800 [10] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Home/Index  [GET]- time spent 4 
2015-07-09 20:51:25,242 [10] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Home/Message [GET] 
2015-07-09 20:51:25,242 [10] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Home/Message  [GET]- time spent 1 
2015-07-09 20:51:37,116 [8] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Account/LogOff [POST] 
2015-07-09 20:51:37,116 [8] 	 INFO 	 Blip.Web.Controllers.AccountController - User [admin] logged off. 
2015-07-09 20:51:37,116 [8] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Account/LogOff  [POST]- time spent 0 
2015-07-09 20:51:37,131 [7] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Account/Login [GET] 
2015-07-09 20:51:37,131 [7] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Account/Login  [GET]- time spent 0 
2015-07-09 20:51:41,778 [9] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Account/Login [POST] 
2015-07-09 20:51:41,781 [9] 	 INFO 	 Blip.Web.Controllers.AccountController - User [user1] logged in successfully 
2015-07-09 20:51:41,781 [9] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Account/Login  [POST]- time spent 2 
2015-07-09 20:51:41,792 [8] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Home/Index [GET] 
2015-07-09 20:51:41,795 [8] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Home/Index  [GET]- time spent 2 
2015-07-09 20:51:46,218 [9] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Home/Message [GET] 
2015-07-09 20:51:46,222 [9] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Home/Message  [GET]- time spent 4 
2015-07-09 20:52:04,022 [8] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Home/Message [POST] 
2015-07-09 20:52:04,038 [8] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Home/Message  [POST]- time spent 26 
2015-07-09 20:52:04,059 [9] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Home/Index [GET] 
2015-07-09 20:52:04,064 [9] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Home/Index  [GET]- time spent 4 
2015-07-09 20:52:33,725 [10] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Account/LogOff [POST] 
2015-07-09 20:52:33,725 [10] 	 INFO 	 Blip.Web.Controllers.AccountController - User [user1] logged off. 
2015-07-09 20:52:33,725 [10] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Account/LogOff  [POST]- time spent 0 
2015-07-09 20:52:33,725 [7] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Executing Account/Login [GET] 
2015-07-09 20:52:33,725 [7] 	 DEBUG 	 Blip.Web.Filters.LogFilterAttribute - Finished executing Account/Login  [GET]- time spent 0 
